Category,Resume,Experience_Years,Education
Web Development,"Experienced professional in web development with 8 years of experience. Education: PhD degree. Skills: React, CSS, HTML, JavaScript, Flask, Django. Looking for opportunities in web development field.",8,PhD
Data Science,"Experienced professional in data science with 2 years of experience. Education: High School degree. Skills: SQL, Machine Learning, Scikit-learn, Python, TensorFlow, NumPy. Looking for opportunities in data science field.",2,High School
Engineering,"Experienced professional in engineering with 2 years of experience. Education: High School degree. Skills: CAD, Problem Solving, Design, AutoCAD. Looking for opportunities in engineering field.",2,High School
Web Development,"Experienced professional in web development with 1 years of experience. Education: High School degree. Skills: CSS, Python, HTML, JavaScript, Flask. Looking for opportunities in web development field.",1,High School
Marketing,"Experienced professional in marketing with 4 years of experience. Education: Bachelor degree. Skills: Digital Marketing, Campaign Management, Analytics, SEO, Social Media, Content Creation. Looking for opportunities in marketing field.",4,Bachelor
Finance,"Experienced professional in finance with 6 years of experience. Education: PhD degree. Skills: Bloomberg, Investment, Accounting, Financial Analysis, Excel, Risk Management. Looking for opportunities in finance field.",6,PhD
Data Science,"Experienced professional in data science with 4 years of experience. Education: PhD degree. Skills: TensorFlow, Machine Learning, Statistics. Looking for opportunities in data science field.",4,PhD
Web Development,"Experienced professional in web development with 0 years of experience. Education: Master degree. Skills: Python, Django, Flask, HTML, React. Looking for opportunities in web development field.",0,Master
Web Development,"Experienced professional in web development with 10 years of experience. Education: High School degree. Skills: React, Flask, CSS. Looking for opportunities in web development field.",10,High School
Marketing,"Experienced professional in marketing with 8 years of experience. Education: PhD degree. Skills: Analytics, Campaign Management, SEO, Social Media, Content Creation, Digital Marketing. Looking for opportunities in marketing field.",8,PhD
Web Development,"Experienced professional in web development with 10 years of experience. Education: Master degree. Skills: Python, Node.js, JavaScript. Looking for opportunities in web development field.",10,Master
Web Development,"Experienced professional in web development with 6 years of experience. Education: PhD degree. Skills: CSS, HTML, Python, JavaScript. Looking for opportunities in web development field.",6,PhD
Engineering,"Experienced professional in engineering with 0 years of experience. Education: Bachelor degree. Skills: Problem Solving, CAD, Design, MATLAB, AutoCAD. Looking for opportunities in engineering field.",0,Bachelor
Web Development,"Experienced professional in web development with 8 years of experience. Education: Master degree. Skills: Django, Python, JavaScript, React, HTML, Flask. Looking for opportunities in web development field.",8,Master
Data Science,"Experienced professional in data science with 1 years of experience. Education: PhD degree. Skills: Machine Learning, Statistics, Scikit-learn, TensorFlow, SQL, NumPy. Looking for opportunities in data science field.",1,PhD
Marketing,"Experienced professional in marketing with 2 years of experience. Education: PhD degree. Skills: Content Creation, Digital Marketing, Campaign Management, Analytics, Social Media, SEO. Looking for opportunities in marketing field.",2,PhD
Marketing,"Experienced professional in marketing with 5 years of experience. Education: High School degree. Skills: Analytics, Social Media, SEO, Campaign Management, Content Creation. Looking for opportunities in marketing field.",5,High School
Marketing,"Experienced professional in marketing with 1 years of experience. Education: Bachelor degree. Skills: Social Media, Content Creation, SEO, Campaign Management, Digital Marketing. Looking for opportunities in marketing field.",1,Bachelor
Finance,"Experienced professional in finance with 4 years of experience. Education: PhD degree. Skills: Accounting, Investment, Excel. Looking for opportunities in finance field.",4,PhD
Web Development,"Experienced professional in web development with 9 years of experience. Education: Bachelor degree. Skills: Flask, Node.js, React, HTML. Looking for opportunities in web development field.",9,Bachelor
Engineering,"Experienced professional in engineering with 3 years of experience. Education: PhD degree. Skills: Design, AutoCAD, Problem Solving. Looking for opportunities in engineering field.",3,PhD
Web Development,"Experienced professional in web development with 8 years of experience. Education: PhD degree. Skills: Flask, React, Node.js. Looking for opportunities in web development field.",8,PhD
Finance,"Experienced professional in finance with 0 years of experience. Education: Bachelor degree. Skills: Risk Management, Bloomberg, Financial Analysis. Looking for opportunities in finance field.",0,Bachelor
Engineering,"Experienced professional in engineering with 5 years of experience. Education: PhD degree. Skills: MATLAB, Design, Problem Solving, CAD, Project Management. Looking for opportunities in engineering field.",5,PhD
Engineering,"Experienced professional in engineering with 0 years of experience. Education: High School degree. Skills: MATLAB, Project Management, AutoCAD, Design. Looking for opportunities in engineering field.",0,High School
Marketing,"Experienced professional in marketing with 1 years of experience. Education: High School degree. Skills: Content Creation, Campaign Management, SEO, Analytics, Social Media, Digital Marketing. Looking for opportunities in marketing field.",1,High School
Marketing,"Experienced professional in marketing with 1 years of experience. Education: Bachelor degree. Skills: Content Creation, Analytics, Campaign Management. Looking for opportunities in marketing field.",1,Bachelor
Engineering,"Experienced professional in engineering with 10 years of experience. Education: Bachelor degree. Skills: Project Management, AutoCAD, Problem Solving, CAD, MATLAB, Design. Looking for opportunities in engineering field.",10,Bachelor
Finance,"Experienced professional in finance with 3 years of experience. Education: Bachelor degree. Skills: Investment, Excel, Accounting, Risk Management. Looking for opportunities in finance field.",3,Bachelor
Marketing,"Experienced professional in marketing with 10 years of experience. Education: PhD degree. Skills: SEO, Digital Marketing, Campaign Management, Social Media, Content Creation, Analytics. Looking for opportunities in marketing field.",10,PhD
Data Science,"Experienced professional in data science with 6 years of experience. Education: PhD degree. Skills: Scikit-learn, TensorFlow, Statistics, SQL, Pandas. Looking for opportunities in data science field.",6,PhD
Data Science,"Experienced professional in data science with 10 years of experience. Education: Bachelor degree. Skills: Statistics, Scikit-learn, NumPy, SQL, TensorFlow, Python. Looking for opportunities in data science field.",10,Bachelor
